Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
12	5	15	2	41	84	1.639	1.695	2.081	2.248	2.835	24	88	108	116	172	20	28	8	0.11627907	0.162790698	0.046511628
12	5	20	15	86	129	1.618	1.67	2.324	2.452	3.046	16	128	140	128	172	12	0	-12	0.069767442	0	-0.069767442
12	5	24	1	96	149	1.731	1.572	2.391	2.502	3.052	-24	100	116	156	212	16	56	40	0.075471698	0.264150943	0.188679245
12	5	25	2	97	153	1.467	1.49	2.207	2.275	3.117	4	156	176	188	224	20	32	12	0.089285714	0.142857143	0.053571429
13	2	1	1	29	74	0.955	1.069	2.593	2.868	3.504	32	108	136	148	180	28	40	12	0.155555556	0.222222222	0.066666667
13	2	1	1	74	158	1.354	1.247	1.585	2.01	2.283	92	208	272	292	336	64	84	20	0.19047619	0.25	0.05952381
13	2	16	1	36	66	2.01	1.999	3.248	3.334	3.959	12	92	96	104	120	4	12	8	0.033333333	0.1	0.066666667
13	2	16	16	69	127	1.281	1.501	2.114	2.263	2.75	48	156	184	188	232	28	32	4	0.120689655	0.137931034	0.017241379
13	2	21	21	104	137	2.646	1.382	3.326	3.469	3.991	-52	76	88	100	132	12	24	12	0.090909091	0.181818182	0.090909091
13	3	1	1	50	73	2.398	1.569	2.313	2.491	3.45	-72	20	44	64	92	24	44	20	0.260869565	0.47826087	0.217391304
13	3	3	3	35	74	1.469	1.535	2.247	2.33	2.851	16	96	100	112	156	4	16	12	0.025641026	0.102564103	0.076923077
13	3	13	3	35	67	1.487	1.559	1.834	2.119	2.525	16	92	104	104	128	12	12	0	0.09375	0.09375	0
13	3	15	1	48	81	1.882	1.482	2.148	2.626	3.209	-68	40	88	92	132	48	52	4	0.363636364	0.393939394	0.03030303
13	3	15	15	81	114	1.564	1.254	2.112	2.245	2.873	-24	56	72	100	132	16	44	28	0.121212121	0.333333333	0.212121212
13	3	16	2	81	126	1.509	1.538	1.994	2.358	2.571	4	96	136	160	180	40	64	24	0.222222222	0.355555556	0.133333333
13	3	17	1	73	104	1.919	1.626	2.538	2.82	2.973	-12	56	72	84	124	16	28	12	0.129032258	0.225806452	0.096774194
13	3	20	15	81	111	1.645	1.502	1.996	2.146	2.5	-20	76	64	84	120	-12	8	20	-0.1	0.066666667	0.166666667
14	1	1	1	34	81	1.253	1.304	1.652	1.88	2.35	36	120	144	160	188	24	40	16	0.127659574	0.212765957	0.085106383
14	1	19	1	108	143	0.944	1.075	1.118	1.598	2.003	-64	48	108	116	140	60	68	8	0.428571429	0.485714286	0.057142857
14	2	1	1	11	63	1.48	1.582	2.043	2.115	2.638	56	140	148	168	208	8	28	20	0.038461538	0.134615385	0.096153846
14	2	1	1	63	104	1.214	1.297	1.491	1.577	1.959	-4	108	116	140	164	8	32	24	0.048780488	0.195121951	0.146341463
14	2	2	2	14	90	1.204	1.273	1.953	2.276	3.028	12	164	228	248	304	64	84	20	0.210526316	0.276315789	0.065789474
14	2	2	2	89	153	1.346	1.457	1.844	1.903	2.701	8	152	168	216	256	16	64	48	0.0625	0.25	0.1875
14	2	5	5	5	50	1.122	1.139	1.704	1.704	2.231	4	128	128	164	180	0	36	36	0	0.2	0.2
14	2	12	1	11	69	1.197	1.228	2.237	2.182	2.798	48	184	180	192	232	-4	8	12	-0.017241379	0.034482759	0.051724138
14	2	12	12	68	108	1.528	1.457	1.981	2.036	2.627	-4	104	116	124	160	12	20	8	0.075	0.125	0.05
14	2	14	2	14	83	1.533	1.44	2.102	2.798	3.283	4	108	188	228	276	80	120	40	0.289855072	0.434782609	0.144927536
14	2	20	1	62	106	1.269	1.424	2.041	2.041	2.625	4	124	124	128	176	0	4	4	0	0.022727273	0.022727273
14	2	21	12	69	114	1.278	1.099	1.735	1.947	2.095	-8	100	128	144	180	28	44	16	0.155555556	0.244444444	0.088888889
15	1	1	1	30	76	1.595	1.566	2.391	2.393	2.829	12	132	136	148	184	4	16	12	0.02173913	0.086956522	0.065217391
15	1	1	1	74	139	1.36	1.567	2.257	2.427	2.896	76	172	212	220	260	40	48	8	0.153846154	0.184615385	0.030769231
15	1	13	1	30	71	1.655	1.8	2.185	2.231	3.27	20	92	112	124	164	20	32	12	0.12195122	0.195121951	0.073170732
15	1	13	13	71	115	1.623	1.56	1.945	2.031	2.558	24	124	148	140	176	24	16	-8	0.136363636	0.090909091	-0.045454545
15	2	1	1	8	35	2.094	2.756	2.382	2.42	2.758	136	60	76	80	108	16	20	4	0.148148148	0.185185185	0.037037037
15	2	1	1	36	91	1.582	1.544	1.912	1.966	2.381	52	148	164	180	220	16	32	16	0.072727273	0.145454545	0.072727273
15	2	1	1	93	148	1.411	1.204	1.63	2.053	2.398	4	132	172	164	220	40	32	-8	0.181818182	0.145454545	-0.036363636
15	2	10	1	10	39	1.43	1.221	2.921	2.921	3.235	-20	80	80	92	116	0	12	12	0	0.103448276	0.103448276
15	2	13	1	34	96	1.16	1.542	2.415	2.534	2.965	56	180	192	212	248	12	32	20	0.048387097	0.129032258	0.080645161
15	4	1	1	27	117	1.566	1.566	2.352	2.505	3.09	0	200	264	288	360	64	88	24	0.177777778	0.244444444	0.066666667
15	4	2	2	17	56	1.635	1.612	1.801	1.887	2.607	20	120	128	120	156	8	0	-8	0.051282051	0	-0.051282051
15	4	13	2	17	55	1.728	1.799	2.83	3.129	3.406	28	100	120	116	152	20	16	-4	0.131578947	0.105263158	-0.026315789
15	5	3	3	3	27	1.6	2.779	2.398	2.459	2.739	100	64	68	72	96	4	8	4	0.041666667	0.083333333	0.041666667
15	5	19	1	42	107	1.482	1.588	2.145	2.378	2.91	20	152	164	204	260	12	52	40	0.046153846	0.2	0.153846154
16	2	1	1	26	63	1.578	1.414	1.81	2.091	2.399	8	84	104	120	148	20	36	16	0.135135135	0.243243243	0.108108108
16	2	1	1	62	119	1.176	1.28	1.48	2.42	2.813	40	140	180	188	228	40	48	8	0.175438596	0.210526316	0.035087719
16	2	2	2	29	87	1.363	1.822	2.544	2.751	3.435	84	172	196	204	232	24	32	8	0.103448276	0.137931034	0.034482759
16	2	13	1	26	65	1.435	1.4	2.083	2.151	2.902	32	108	112	124	156	4	16	12	0.025641026	0.102564103	0.076923077
16	2	14	2	29	87	1.453	1.895	2.188	2.498	3.182	56	160	192	196	232	32	36	4	0.137931034	0.155172414	0.017241379
16	3	1	1	17	61	1.816	1.925	2.501	2.617	3.57	12	104	120	148	176	16	44	28	0.090909091	0.25	0.159090909
16	3	1	1	61	109	1.415	1.621	2.22	2.402	2.612	28	120	144	152	192	24	32	8	0.125	0.166666667	0.041666667
16	3	12	2	15	56	1.577	1.585	2.195	2.33	2.474	20	108	120	128	164	12	20	8	0.073170732	0.12195122	0.048780488
17	2	1	1	37	67	1.687	1.61	1.794	1.949	2.414	-12	60	76	76	120	16	16	0	0.133333333	0.133333333	0
17	2	1	1	67	142	1.301	1.245	1.657	1.631	2.17	60	208	240	260	300	32	52	20	0.106666667	0.173333333	0.066666667
17	2	2	2	36	71	1.447	1.456	1.991	2.065	2.468	8	84	88	104	140	4	20	16	0.028571429	0.142857143	0.114285714
17	2	16	1	36	66	1.634	1.553	2.484	2.561	2.973	-8	72	80	80	120	8	8	0	0.066666667	0.066666667	0
17	2	16	16	66	131	1.49	1.467	2.159	2.465	2.731	36	156	204	200	260	48	44	-4	0.184615385	0.169230769	-0.015384615
17	2	17	2	36	74	1.754	1.903	2.637	2.605	3.23	20	104	100	112	152	-4	8	12	-0.026315789	0.052631579	0.078947368
17	2	22	16	66	152	1.483	1.954	2.692	2.663	3.329	80	232	236	276	344	4	44	40	0.011627907	0.127906977	0.11627907
17	2	24	1	67	128	1.112	1.175	2.492	2.464	3.003	80	188	192	200	244	4	12	8	0.016393443	0.049180328	0.032786885
17	3	1	1	13	50	1.81	1.723	2.206	2.257	2.675	28	104	108	116	148	4	12	8	0.027027027	0.081081081	0.054054054
17	3	9	1	13	50	1.743	1.458	2.654	2.691	3.143	28	96	108	124	148	12	28	16	0.081081081	0.189189189	0.108108108
17	4	1	1	14	44	1.761	1.709	2.244	2.213	2.734	-16	52	72	88	120	20	36	16	0.166666667	0.3	0.133333333
17	4	2	2	24	77	1.614	1.637	2.171	2.224	2.91	-4	100	144	152	212	44	52	8	0.20754717	0.245283019	0.037735849
